ImageFile,Shock,ID,ConditioningLoop.thisRepN,ConditioningLoop.thisTrialN,ConditioningLoop.thisN,ConditioningLoop.thisIndex,WelcomeContinue.keys,WelcomeContinue.rt,ICContinue1.keys,ICContinue1.rt,ICContinue2.keys,ICContinue2.rt,CSContinue.keys,CSContinue.rt,participant,session,date,expName,frameRate,
,,,,,,,space,1.895783502031918,,,,,,,,001,2019_Feb_08_1524,AggPrototype,59.77846644802174,
,,,,,,,,,space,1.3182908034959837,,,,,,001,2019_Feb_08_1524,AggPrototype,59.77846644802174,
,,,,,,,,,,,return,4.019649144869618,,,,001,2019_Feb_08_1524,AggPrototype,59.77846644802174,
,,,,,,,,,,,,,space,3.2038872264201927,,001,2019_Feb_08_1524,AggPrototype,59.77846644802174,
images/Face3.jpg,2,3,0,0,0,2,,,,,,,,,,001,2019_Feb_08_1524,AggPrototype,59.77846644802174,
images/Face1.jpg,0,1,0,1,1,0,,,,,,,,,,001,2019_Feb_08_1524,AggPrototype,59.77846644802174,
images/Face2.jpg,1,2,0,2,2,1,,,,,,,,,,001,2019_Feb_08_1524,AggPrototype,59.77846644802174,
images/Face1.jpg,0,1,1,0,3,0,,,,,,,,,,001,2019_Feb_08_1524,AggPrototype,59.77846644802174,
images/Face2.jpg,1,2,1,1,4,1,,,,,,,,,,001,2019_Feb_08_1524,AggPrototype,59.77846644802174,
images/Face3.jpg,2,3,1,2,5,2,,,,,,,,,,001,2019_Feb_08_1524,AggPrototype,59.77846644802174,
images/Face2.jpg,1,2,2,0,6,1,,,,,,,,,,001,2019_Feb_08_1524,AggPrototype,59.77846644802174,
images/Face1.jpg,0,1,2,1,7,0,,,,,,,,,,001,2019_Feb_08_1524,AggPrototype,59.77846644802174,
